frame,time,score
1,0.03333333333333333,56.52179
2,0.06666666666666667,60.26056
3,0.1,58.60089
4,0.13333333333333333,59.32794
5,0.16666666666666666,58.471497
6,0.2,58.063293
7,0.23333333333333334,56.91632
8,0.26666666666666666,60.15265
9,0.3,60.892883
10,0.3333333333333333,62.34259
11,0.36666666666666664,62.339172
12,0.4,62.266907
13,0.43333333333333335,62.023743
14,0.4666666666666667,62.026184
15,0.5,55.43878
16,0.5333333333333333,54.72638
17,0.5666666666666667,62.332825
18,0.6,65.31964
19,0.6333333333333333,69.32745
20,0.6666666666666666,68.634094
21,0.7,73.73224
22,0.7333333333333333,73.48273
23,0.7666666666666667,75.10187
24,0.8,72.89581
25,0.8333333333333334,71.258606
26,0.8666666666666667,62.47296
27,0.9,60.729797
28,0.9333333333333333,60.162415
29,0.9666666666666667,59.062317
30,1.0,57.628235
31,1.0333333333333334,61.594055
32,1.0666666666666667,57.57257
33,1.1,56.89923
34,1.1333333333333333,57.0838
35,1.1666666666666667,56.721985
36,1.2,56.670715
37,1.2333333333333334,56.64142
38,1.2666666666666666,55.976868
39,1.3,56.323547
40,1.3333333333333333,59.697083
41,1.3666666666666667,57.84015
42,1.4,58.43927
43,1.4333333333333333,61.878235
44,1.4666666666666666,59.88507
45,1.5,62.261536
46,1.5333333333333334,56.346985
47,1.5666666666666667,55.83673
48,1.6,50.64044
49,1.6333333333333333,48.022278
50,1.6666666666666667,45.647278
51,1.7,48.431458
52,1.7333333333333334,51.980774
53,1.7666666666666666,52.28009
54,1.8,54.8172
55,1.8333333333333333,55.576965
56,1.8666666666666667,54.278137
57,1.9,56.391907
58,1.9333333333333333,55.301575
59,1.9666666666666666,65.06525
60,2.0,69.094055
61,2.033333333333333,80.744446
62,2.066666666666667,83.43146
63,2.1,79.057434
64,2.1333333333333333,70.937805
65,2.1666666666666665,66.287415
66,2.2,64.81085
67,2.2333333333333334,64.65851
68,2.2666666666666666,65.09015
69,2.3,60.560852
70,2.3333333333333335,59.10968
71,2.3666666666666667,57.471497
72,2.4,58.04669
73,2.433333333333333,57.14093
74,2.466666666666667,55.712708
75,2.5,55.133606
76,2.533333333333333,54.190735
77,2.566666666666667,57.0506
78,2.6,58.11798
79,2.6333333333333333,60.51544
80,2.6666666666666665,61.03888
81,2.7,60.763
82,2.7333333333333334,62.324036
83,2.7666666666666666,61.65851
84,2.8,62.6839
85,2.8333333333333335,63.75714
86,2.8666666666666667,63.918274
87,2.9,64.082825
88,2.933333333333333,65.259094
89,2.966666666666667,62.138
90,3.0,61.95294
